BillingId,ProductId,SubProductId,PrimaryTerritory,SecondaryTerritory
1043QS,13,0,102546,
1078KV,13,0,106483,
107G3N,13,0,106483,
108NH4,13,0,104226,
108PK5,13,0,104226,
108WS0,13,0,100834,
109MSF,13,0,100834,
110KZQ,13,0,106483,
110Q81,13,0,100834,
111RBK,13,0,106483,
111RBN,13,0,106483,
112DK0,13,0,102546,
112DK1,13,0,102546,
113JXR,13,0,106483,
116V8H,13,0,106483,
118BNX,13,0,106483,
118QDF,13,0,106483,
1196Z3,13,0,106483,
121S1F,13,0,106483,
121XDH,13,0,106483,
1229Q7,13,0,101070,
123WBG,13,0,100834,
123WBK,13,0,100834,
124R4B,13,0,102546,
124R4G,13,0,102546,
125146,13,0,102546,
125152,13,0,108204,
126Q5B,13,0,106483,
1277GG,13,0,108196,
127RQD,13,0,106483,
1291G6,13,0,100834,
129JZK,13,0,100834,
129MKZ,13,0,100834,
129MMB,13,0,100834,
130502,13,0,106483,
131N0C,13,0,106483,
131NMB,13,0,106483,
131WB8,13,0,102546,
131WB9,13,0,102546,
14116X,13,0,106483,
14116Z,13,0,106483,
14117H,13,0,106483,
142DS8,13,0,107584,
142DT1,13,0,107584,
147PJT,13,0,108196,
147PJV,13,0,108196,
1486ZK,13,0,101898,
157BWJ,13,0,106483,
158D3G,13,0,106483,
159Q8Z,13,0,108194,
162FFZ,13,0,106483,
162NH1,13,0,101070,
162NJ5,13,0,100834,
163JPJ,13,0,102546,
1021897,1,0,101898,
1304784,1,0,101072,
1384985,1,0,100834,
1421025,1,0,101091,
1468394,1,0,104233,
1474450,1,0,107322,
1474540,1,0,107322,
1481030,1,0,101070,
1516686,1,0,101898,
1539896,1,0,101898,
1549326,1,0,102546,
1566525,1,0,101070,
1572735,1,0,108194,
1615421,1,0,107322,
162NH1,1,0,101070,
162NJ5,1,0,100834,
