BillingId,ProductId,SubProductId,PrimaryTerritory,SecondaryTerritory
6684913,1,0,107114,
6195218,1,0,107355,
1594126,1,0,107355,
187XCIH1,1,0,107355,
1623371,1,0,108056,
1100CQ,13,0,108051,
5100969,1,0,100898,
131XW2,5,0,100695,
123055,5,0,100695,
6679903,1,0,100695,
6675083,1,0,100695,
6671673,1,0,100695,
6687213,1,0,100695,
1623660,1,0,100695,
1598466,1,0,100695,
1533012,1,0,100695,
1532992,1,0,100695,
6674993,1,0,100695,
83483,7,70004,100695,
83480,7,70004,100695,
83478,7,70004,100695,
1021605,1,0,108389,
074707,12,0,108389,
122ZNB,13,0,108389,
122XTM,13,0,108389,
1145NF,13,0,108389,
110JTP,13,0,108389,
110GWD,13,0,108389,
107BS1,13,0,108389,
106QCH,13,0,108389,
6236953,1,0,100898,
1522126,1,0,100898,
99934253,1,0,100898,
5102452,1,0,100898,
1572386,1,0,100898,
1538605,1,0,100898,
1489684,1,0,100898,
1410365,1,0,100898,
1389395,1,0,100898,
1242121,1,0,100898,
133XWD,13,0,100898,
1786932,7,70005,100898,
1005366,7,70005,100898,
892685,11,110001,100898,
69289,7,70004,100898,
149ZH7,13,0,100898,
146Z6B,13,0,100898,
145SW8,1,0,100898,
1434XT,13,0,100898,
1798405,7,70005,100898,
126DKZ,13,0,100898,
1150CB,13,0,100898,
1140W2,13,0,100898,
145SW8,13,0,100898,
6676063,1,0,108064,
1042680,1,0,108073,
1475750,1,0,108073,
136C42,1,0,108073,
6686223,1,0,101327,
136C42,13,0,108073,
176275,11,110003,101498,
122665,5,0,107114,
132HVW,1,0,108073,
132HVW,13,0,108073,
6391419,1,0,105965,
1014778,1,0,105965,
1342244,1,0,105965,
1421DT,1,0,105965,
1421DT,13,0,105965,
360669AOR,9,0,108617,
1445154,1,0,103088,
1445164,1,0,103088,
1549445,1,0,103088,
1551256,1,0,103088,
1635930,1,0,103088,
6238073,1,0,103088,
1561916,1,0,100137,
6686613,1,0,100137,
1634810,1,0,108069,
1454064,1,0,100133,
146F8B,1,0,100133,
146W4N,1,0,100133,
146F8B,13,0,100133,
146W4N,13,0,100133,
1073430,1,0,105965,
1569476,1,0,105965,
123J9J,13,0,105965,
68900,7,70004,105965,
1166760,1,0,107114,
1029947,1,0,105965,
1798525,7,70001,105965,
1373165,1,0,100123,
171638,11,110003,100123,
6680463,1,0,108064,
1408584,1,0,108069,
6183869,1,0,108069,
1204341,1,0,108621,
5146416,1,0,104790,
1021647,1,0,108101,
1451240,1,0,108101,
122092,5,0,108101,
6181745,1,0,108101,
133Z7P,1,0,108101,
133Z7P,13,0,108101,
1593046,1,0,108056,
6393062,1,0,106481,
1535096,1,0,108274,
1593516,1,0,100898,
6686113,1,0,108274,
760225,7,70001,108274,
1617581,1,0,108099,
6666493,1,0,108099,
1477470,1,0,108146,
1620230,1,0,100703,
1421DS,13,0,108146,
171945,11,110003,108276,
1540892,1,0,108621,
5048141,1,0,100276,
00021201,1,0,100721,
1544852,1,0,108126,
1545282,1,0,108146,
1548492,1,0,101008,
122583,2,0,108144,
1548982,1,0,104802,
122503,2,0,101009,
122703,2,0,100789,
106413,12,0,108054,
1550632,1,0,108152,
106360,12,0,108107,
122543,2,0,101010,
122463,2,0,108621,
168QXQ,13,0,100775,
168RBT,13,0,100775,
168QXZ,13,0,100775,
168RCS,13,0,100775,
168SWR,13,0,100775,
168SWV,13,0,100775,
122643,2,0,100759,
122653,2,0,100759,
106388,12,0,100749,
122743,2,0,108126,
122693,2,0,108064,
122573,2,0,100137,
122663,2,0,108146,
122723,2,0,108103,
122713,2,0,108060,
1546802,1,0,108088,
121404,2,0,108092,
6688193,1,0,100782,
1548902,1,0,100137,
1549752,1,0,108062,
122593,2,0,100759,
168KQZ,13,0,101831,
106447,12,0,101831,
1544422,1,0,108094,
1544372,1,0,100719,
122683,2,0,108079,
122753,2,0,101325,
1546032,1,0,102163,
122483,2,0,108064,
1548952,1,0,108092,
1548942,1,0,100137,
121414,2,0,100791,
1548872,1,0,102163,
122733,2,0,108051,
1550672,1,0,108079,
1544272,1,0,100137,
122673,2,0,100896,
1550622,1,0,108388,
1550582,1,0,101120,
1550472,1,0,102385,
