BillingId,ProductId,SubProductId,PrimaryTerritory,SecondaryTerritory
100YAN,13,0,,UNASSIGN
1039ZS,13,0,,UNASSIGN
109PGQ,13,0,109000,
109TF0,13,0,103974,
110CHK,13,0,109000,
110N4J,13,0,109000,UNASSIGN
110XS9,13,0,109000,
11308G,13,0,102365,
113T06,13,0,109000,
114B78,13,0,100898,
116R47,13,0,108064,
117D4M,13,0,109000,UNASSIGN
119FDP,13,0,100335,
121F8B,13,0,100335,
121NGJ,13,0,109000,
1315RP,13,0,100335,
1434XS,13,0,103164,107258
163JCB,13,0,109000,UNASSIGN
163JPH,13,0,109000,
104063,12,0,108389,
131H6J,5,0,100424,
131M9R,5,0,100424,
138PKS,5,0,100424,
108876,2,0,100429,
115675,2,0,108051,
115695,2,0,100133,
117226,2,0,100429,
118166,2,0,109000,UNASSIGN
125RSC,1,0,100429,
126FWV,1,0,107859,
138PTB,1,0,103974,
1434XS,1,0,,102873
163JPH,1,0,109000,
1005324,1,0,100429,
1006060,1,0,103974,
1007727,1,0,100424,
1007855,1,0,100424,
1008095,1,0,100429,
1008114,1,0,100823,
1008203,1,0,100822,
1008251,1,0,100822,
1008337,1,0,100822,
1008373,1,0,100823,
1008541,1,0,100429,
1008594,1,0,100429,
1008646,1,0,102063,
1008774,1,0,100429,
1009016,1,0,100429,
1009056,1,0,100429,
1009072,1,0,,102864
1009073,1,0,,102875
1009076,1,0,103974,
1009100,1,0,100822,
1009103,1,0,100823,
1009165,1,0,100429,
1009207,1,0,,102873
1009216,1,0,100424,
1009248,1,0,100429,
1009271,1,0,100429,
1009332,1,0,100424,
1009360,1,0,100429,
1009362,1,0,100424,
1009417,1,0,,102873
1009648,1,0,,102873
1009695,1,0,103974,
1009733,1,0,100429,
1009775,1,0,100137,
1009799,1,0,100429,
1009836,1,0,100429,
1009851,1,0,100822,103280
1009900,1,0,100424,
1009938,1,0,100822,
1009965,1,0,,103294
1010027,1,0,,102864
1010028,1,0,,102873
1010065,1,0,100823,
1010145,1,0,100426,
1010152,1,0,,103284
1010255,1,0,100823,103280
1010294,1,0,100823,
1010299,1,0,100823,
1010343,1,0,,102864
1010416,1,0,,103293
1010457,1,0,,102873
1010489,1,0,,103284
1010589,1,0,,102867
1010599,1,0,100823,
1010707,1,0,100424,
1010772,1,0,100429,
1010895,1,0,,102864
1011314,1,0,108064,
1011402,1,0,100823,
1011535,1,0,100424,
1011548,1,0,,102867
1011589,1,0,,102867
1011793,1,0,100429,
1011991,1,0,,102864
1012384,1,0,,103286
1012591,1,0,100429,
1012667,1,0,100429,
1012710,1,0,100429,
1012736,1,0,103974,
1012743,1,0,100429,
1013397,1,0,100822,
1013445,1,0,102525,
1013519,1,0,,102864
1013712,1,0,100823,103280
1013773,1,0,,103280
1014211,1,0,100429,
1014424,1,0,100822,103289
1014455,1,0,,102864
1014461,1,0,100424,
1014911,1,0,100428,
1014927,1,0,,102864
1014928,1,0,100424,
1015086,1,0,100424,
1015121,1,0,100822,
1015438,1,0,100424,
1015455,1,0,100823,
1015518,1,0,100823,
1015534,1,0,100424,
1015613,1,0,100823,
1015650,1,0,100429,
1015672,1,0,100429,
1015683,1,0,,102873
1015797,1,0,100424,
1015907,1,0,100424,
1016054,1,0,100821,
1016099,1,0,100429,
1016102,1,0,100424,
1016104,1,0,,103294
1016276,1,0,103974,
1016298,1,0,,103293
1016325,1,0,100424,
1016377,1,0,103974,
1016411,1,0,100429,
1016483,1,0,100823,
1016690,1,0,100429,
1017004,1,0,100429,
1017038,1,0,103974,
1017040,1,0,103974,
1017179,1,0,,102873
1017224,1,0,100429,
1017269,1,0,100429,
1017353,1,0,100424,
1017395,1,0,100822,
1017402,1,0,,103294
1017448,1,0,103974,
1017552,1,0,100424,
1017604,1,0,100822,
1017683,1,0,108064,
1017737,1,0,100429,
1017754,1,0,100822,
1017805,1,0,103974,
1017810,1,0,,102864
1017840,1,0,100424,
1017871,1,0,100823,
1017959,1,0,100424,
1017989,1,0,103974,
1018025,1,0,,103284
1018081,1,0,108062,
1018210,1,0,100822,
1018282,1,0,,102864
1018315,1,0,100424,
1018351,1,0,100429,
1018372,1,0,100823,
1018615,1,0,100822,
1018667,1,0,103974,
1018687,1,0,,102867
1018751,1,0,100424,
1018773,1,0,,103294
1018803,1,0,100822,
1018868,1,0,,102864
1018899,1,0,,103284
1019266,1,0,100424,
1019270,1,0,,102867
1019350,1,0,100424,
1019405,1,0,,102875
1019427,1,0,100429,
1019443,1,0,100429,
1019487,1,0,100429,
1019514,1,0,100429,
1019777,1,0,103974,
1019823,1,0,103974,
1019831,1,0,103974,
1019859,1,0,103974,
1020008,1,0,100429,
1020074,1,0,103974,
1020220,1,0,,103286
1020522,1,0,100429,
1020536,1,0,103974,
1020538,1,0,103974,
1020645,1,0,100822,
1020680,1,0,100429,
1020802,1,0,100424,
1020831,1,0,100424,
1020879,1,0,,102867
1021101,1,0,103974,
1021245,1,0,100823,
1021350,1,0,100429,
1021655,1,0,100429,
1021712,1,0,100424,
1021864,1,0,100823,
1021901,1,0,100424,
1021953,1,0,,103293
1022271,1,0,103974,
1022688,1,0,100429,
1022839,1,0,100823,
1022864,1,0,100823,
1023170,1,0,100424,
1023266,1,0,103974,
1023270,1,0,100433,
1023448,1,0,100424,
1023481,1,0,,102867
1023525,1,0,100429,
1023644,1,0,103974,
1023751,1,0,103974,
1023774,1,0,103974,
1023839,1,0,103974,
1023856,1,0,100432,
1024161,1,0,100424,
1024210,1,0,100823,
1024314,1,0,100429,
1024422,1,0,100429,
1024434,1,0,100823,
1024657,1,0,100429,
1024727,1,0,100424,
1024771,1,0,,102873
1024882,1,0,103974,
1024883,1,0,103974,
1024886,1,0,103974,
1024887,1,0,103974,
1024889,1,0,103974,
1024910,1,0,100424,
1025034,1,0,103974,
1025036,1,0,103974,
1025040,1,0,103974,
1025056,1,0,103974,
1025057,1,0,103974,
1025101,1,0,100823,
1025183,1,0,100822,
1025220,1,0,100823,
1025272,1,0,,103291
1025304,1,0,103974,
1025380,1,0,103974,
1025428,1,0,103974,
1025569,1,0,103974,
1025912,1,0,100709,
1025914,1,0,100429,
1025944,1,0,103974,
1025979,1,0,103974,
1026090,1,0,100424,
1026205,1,0,103974,
1026207,1,0,100424,
1026679,1,0,,103294
1026708,1,0,100823,
1027084,1,0,100429,
1027150,1,0,100429,
1027185,1,0,100429,
1027275,1,0,108064,
1027317,1,0,100429,
1027349,1,0,103974,
1027783,1,0,102525,
1027975,1,0,100429,
1028208,1,0,,103294
1028336,1,0,100823,
1028400,1,0,100429,
1028440,1,0,100429,
1028472,1,0,,103294
1028546,1,0,100429,
1028621,1,0,103262,
1028739,1,0,100424,
1028842,1,0,100424,
1028876,1,0,,103293
1029409,1,0,100822,
1029581,1,0,100424,
1029637,1,0,100429,
1030127,1,0,100823,
1030128,1,0,100823,
1030130,1,0,100823,
1030217,1,0,100429,
1030260,1,0,100424,
1030323,1,0,100429,
1030509,1,0,100424,
1030537,1,0,100429,
1030640,1,0,,102867
1030691,1,0,103974,
1030799,1,0,100823,
1030838,1,0,100424,
1030967,1,0,100429,
1030980,1,0,103974,
1031053,1,0,100429,
1031206,1,0,100429,
1031315,1,0,100429,
1031317,1,0,100429,
1031479,1,0,102505,
1031482,1,0,100424,
1031591,1,0,103974,
1031592,1,0,100429,
1031637,1,0,100429,
1031715,1,0,100429,
1031752,1,0,100429,
1031923,1,0,100429,
1031929,1,0,100429,
1032071,1,0,100429,
1032134,1,0,100429,
1032238,1,0,100429,
1032305,1,0,100823,
1032464,1,0,100424,
1032631,1,0,100424,
1032667,1,0,100429,
1032919,1,0,100823,
1033060,1,0,100424,
1033117,1,0,102505,
1033137,1,0,103974,
1033479,1,0,100823,
1033524,1,0,,103294
1033532,1,0,100429,
1033560,1,0,100823,
1033741,1,0,100424,
1033972,1,0,100424,
1034070,1,0,100424,
1034093,1,0,103974,
1034334,1,0,,102864
1034432,1,0,100429,
1034505,1,0,100429,
1034531,1,0,100429,
1034683,1,0,100424,
1034722,1,0,103974,
1035123,1,0,100429,
1035151,1,0,100429,
1035533,1,0,100424,
1035914,1,0,100429,
1036121,1,0,100429,
1036131,1,0,100424,
1036258,1,0,103974,
1036443,1,0,100424,
1036709,1,0,103974,
1036857,1,0,100429,
1036933,1,0,100424,
1037154,1,0,100429,
1037277,1,0,100429,
1037428,1,0,100429,
1037972,1,0,100429,
1037994,1,0,100429,
1038204,1,0,100823,103280
1038261,1,0,103974,
1040250,1,0,100822,
1040320,1,0,,102864
1040330,1,0,100385,
1042910,1,0,103974,
1044730,1,0,100429,
1045490,1,0,100429,
1046850,1,0,103974,
1047690,1,0,100424,
1051820,1,0,100429,
1053130,1,0,100429,
1053170,1,0,100333,
1053980,1,0,103974,
1054020,1,0,100424,
1056400,1,0,100424,
1058060,1,0,100429,
1059440,1,0,,103293
1060390,1,0,100424,
